EnglishName	EnglishAlternatives	Greek	GrkTranslit	GrkTidy	Hebrew	HebTranslit	HebTidy	Comment
Pharaoh		Φαραώ	Faraō	Farao	פַרְעֹה	Farˊoh	Farˊoh	Acts 7:13
Rachel		Ῥαχήλ	Ɽaⱪaʸl	Ɽaⱪel	רָחֵל	Rāḩēl	Rahel	Matt 2:18
Ragau		Ῥαγαῦ	Ɽagau	Ɽagau	רְעוּ	Rəˊū	Reˊu	
Rahab		Ῥαχάβ	Ɽaⱪab	Ɽaⱪab	רָחָב	Rāḩāⱱ	Rahav	
Rebecca		Ῥεβέκκα	Ɽebekka	Ɽebekka	רִבְקָה	Riⱱqāh	Rivkah	Rom 9:10
Rehoboam		Ῥοβοάμ	Ɽoboam	Ɽoboam	רְחַבְעָם	Rəḩaⱱˊām	Rehavˊam	
Reuben		Ῥουβίμ	Ɽoubim	Ɽoubim	רְאוּבֵן	Rəʼūⱱēn	Reʼuven	Rev 7:5
Rhesa		Ῥησά	Ɽaʸsa	Ɽesa	רְפָיָה?	Rəfāyāh?	Refayah?	
Ruth		Ῥούθ	Ɽouth	Ɽouth	רוּת	Rūt	Rut	
Salathiel		Σαλαθιήλ	Salathiaʸl	Salathiel	שְׁאַלְתִּיאֵל	Shəʼaltiyʼēl	Sheʼaltiyʼel	
Sala		Σαλά	Sala	Sala	שֶׁלַח	Shelaḩ	Shelah	
Salmon		Σαλμών	Salmōn	Salmon	שַׂלְמוֹן	Salmōn	Salmon	
Samson		Σαμψών	Sampsōn	Sampson	שִׁמְשׁוֺן	Shimshvōn	Shimshvon	Heb 11:32
Samuel		Σαμουήλ	Samouaʸl	Samouel	שְׁמוּאֵל	Shəmūʼēl	Shemuʼel	Acts 3:24
Sarah		Σάρρα	Sarra	Sarra	שָׂרָה	Sārāh	Sarah	Heb 11:11
Satan		Σατᾶν	Satan	Satan	שָׂטָן	Sāţān	Saţan	
Saul		Σαῦλος	Saulos	Saulos	שָׁאוּל	Shāʼūl	Shaʼul	Acts 7:58, 8:1
Semein		Σεμεΐ	Semei	Semei	שִׁמְעִי	Shimˊī	Shimˊi	
Sem		Σήμ	Saʸm	Sem	שֵׁם	Shēm	Shem	
