Lemma	Glosses
אֲרוֹן	ark;ark_of;chest;coffin
אֲרוּ	behold
אֲרוּכָה	healing_of;health;repair;repairs
אֲרוּמָה	Arumah
אֲשִׁימָא	Ashima
אֲשִׁישָׁה	cake_of_raisins;cakes_of;raisins
אֲשֵׁדָה	slopes;slopes_of
אֲשֵׁרָה	asherah;asherah_pole;asherah_poles;Asherahs;asherim;sacred_pole;sacred_poles
אֲשֶׁר	(happy);although;anyone;as;because;ever;for;he;him;how;if;it;since;so;so_that;someone;such_as;such_that;such_~_as;such_~_that;that;the_one;them;then;therefore;they;this;those;though;what;whatever;when;where;wherever;which;while;who;whoever;whom;whomever;whose;why;yet;you
אֲשֻׁרִים	daughter_of-cypresses
אֲשׁוּר	steps_of
אֲשׁוּרִי	Ashurites
אֲשַׂרְאֵל	Asarel
אֲשַׂרְאֵלָה	Asarelah
אֲתַר	after;after_of;place;place_of;site_of;trace
אֲתָה	bring;brought;brought_in;came;come;coming;gone
אֲתָרִים	Atharim
אֳלִיאָתָה	Eliathah
אֳנִי	fleet;fleet_of;fleet_of_ships;galley_of;ships_of
אֳנִיָּה	boats;ship;ships;ships_of
אִבְחָה	slaughter_of
אִבְצָן	Ibzan
אִגְּרָא	letter
אִגֶּרֶת	letter;letter_of;letters;letters_of
אִדַּר	threshing_floors_of
אִדּוֹ	Iddo
אִוֶּלֶת	folly;folly_of;foolish;foolishly;foolishness_of
אִטִּי	ghosts
אִטֵּר	bound_of
אִי	coast;coastland;coastland_of;coastlands;coastlands_of;coasts_and_islands_of;coasts_of;hyenas;islands;islands_of;not;to;woe
אִיּוֹב	Job;Job's
אִי־כָבוֹד	-chabod;I-;Ichabod's
אִיזֶבֶל	Jezebel;Jezebel's
אִילָן	tree
אִין	not
אִיעֶזְרִי	Iezerites
אִיעֶזֶר	Iezer
אִישׁ	a_certain;all;another;another_man;any;any_man;any_man's;any_of;any_one;anyone;anyong;certain;cubs;each;each_man;each_man's;each_of;each_one;every;every_man;every_man's;every_one;everyone;everyone_of;expert_of;father;fellow_of;fellows;friends_of;his;human;husband;husband's_of;husband_of;husbands;husbands_of;male;man;man's;man_of;mankind;men;men's;men_of;mourners;one;one's;one_of;people;people_of;person;person's;person_of;persons;some;someone;steward;that_one;this_one;who
אִישְׁהוֹד	Ishhod
אִישׁ־בֹשֶׁת	-bosheth;Ish-
אִישׁוֹן	apple_of;deep_of;midst_of
אִיתִיאֵל	Ithiel
אִיתַי	are;exists;is;it_be;there_are;there_is;there_will_be;was
אִיתָמָר	Ithamar
אִיתוֹן	entrance
אִכָּר	farmer;farmers;farmers_of
אִלֵּין	these
אִלֵּךְ	these;those
אִלֵּם	cannot_speak;mute
אִלּוּ	if
אִם	?;although;and;as_if;but;certain;don't;even_if;if;if_only;indeed;never;no;none;nor;not;now;oh_that;only;or;perhaps;rather;since;surely;than;that;then;though;unless;when;whenever;whether;yet
אִמְרִי	Imri
אִמְרָה	command_of;promise_of;speech_of;what_~_say_of;word_of;words;words_of
אִמֵּר	Immer
אִמַּר	lambs
אִנִּין	they
אִנּוּן	they;those
אִסָּר	binding;pledge;pledge_of;pledges_of
אִשׁ	he_is;is_there
אִשֶּׁה	fire_offering;fire_offerings_of;offering;offering_by_fire;offering_by_fire_of;offering_made_by_fire;offering_made_by_fire_of;offerings_by_fire;offerings_by_fire_of;offerings_made_by_fire_of;sacrifices_of
אִשָּׁה	each;each_one;female;females;mate_of;mother;one;widow_of;wife;wife's;wife's_of;wife_of;wives;wives_of;woman;woman's;woman_of;women;women_of
אִתַּי	Ithai;Ittai
אֵב	flower_of;fruit_of;new_growth_of
אֵבֶה	papyrus
אֵבֶל	mourner;mourning;mourning_of;time_of_mourning
אֵבֶר	feathers;wings
אֵבוּס	manger_of
אֵגֶל	drops_of
אֵד	mist;mist_of
אֵהוּד	Ehud
אֵזוֹב	hyssop
אֵזוֹר	belt_of;belts;loincloth;loincloth_of
אֵחִי	Ehi
אֵחוּד	Ehud
אֵטוּן	linen_of
אֵיבָה	enmity;enmity_of;hostility;hostility_of
אֵיד	calamity;calamity_of;destruction_of;disaster;disaster_of
אֵיךְ	how;what;why
אֵיכָה	how;what;where
אֵיכָכָה	how
אֵיכֹה	where
אֵיל פָּארָן	-paran;El-
אֵילִם	Elim
אֵילַת	Elath
אֵילָם	portico_of;porticoes;vestibules
אֵילוֹן בֵּית חָנָן	-beth-;-hanan;Elon-
אֵילוֹת	Elath;Eloth
אֵימְתָן	dreadful
אֵימִים	Emim
אֵימָה	dread_of;fear;fear_of;idols;terrifying;terror;terror_of;terrors;terrors_of;wrath_of
אֵיפָה	basket;ephah;ephah_of;measure;measure_of
אֵיפֹה	what_kind;where
אֵיתָן	constant;enduring;Ethan;ever-flowing;hard;mighty;normal_depth_of;perennial;running;steady
אֵיתָנִים	ethanim
אֵל	-el;divine;El;El-;El_of;god;God;God's;God_of;god_of;gods;great_of;leaders_of;mighty;Mighty_One;Mighty_One_of;oaks;power_of;these;those
אֵל בְּרִית	-berith
אֵלִיָּה	Elijah
אֵלֶם	gods;silent
אֵלָא	Ela
אֵלָה	Elah;oak;oak_tree;terebinth;tree
אֵלֹנִי	Elonites
אֵלֶּה	another;one;others;same;some;such;the_one;the_other;the_others;them;there;these;they;this;those;who
אֵלוֹן	Elon;oak;oak_of;oaks_of
אֵם	mother;mother's_of;mother_of;mothers;mothers'_of;mothers_of;parting_of
אֵמֶר	answer;arguments_of;decreed_of;fawns_of;sayings_of;words;words_of
אֵמֻן	faith;faithful;faithfulness;trustworthy
אֵסַר־חַדּוֹן	-haddon;Esar-
אֵסוּר	bonds_of;chains;prison
אֵפֶר	ashes;ashes_of;dust
אֵפֹד	Ephod
אֵפוֹ	now;then
אֵפוֹד	ephod;ephod_of
אֵצֶל	at;beside;by;near;side;to;with
אֵצֶר	Ezer
אֵשׁ	blazing;burning;burning_of;fiery;fiery_of;fire;fire_of;flaming;lightning_of
אֵשֶׁל	tamarisk_tree
אֵת	adding_to;against;alongside;also;among;as_well_as;before;behalf_of;beside;by;for;from;has;have;in;mattocks;mattocks_of;near;of;on;on_~_side;plowshares;plowshares_of;to;together;upon;well_as;with;within
אֵתָם	Etham
אֶבְיָסָף	Ebiasaph
אֶבְיָתָר	Abiathar
אֶבְיוֹן	needy;needy_of;poor;poor_of
אֶבְרָה	feathers_of;pinions;pinions_of
אֶבֶן	gem;gemstones;jewels_of;ore;ore_of;plumb_line;plumb_line_of;rock_of;rocks_of;stone;stone_of;stones;stones_of;vessels_of_stone;weight;weight_of;weights_of
אֶבֶן הָעֵזֶר	-ezer;Eben-
אֶבֶץ	Ebez
אֶגְלַיִם	Eglaim
אֶגְרֹף	fist;fist_of
אֶדְרֶעִי	Edrei
אֶדְרַע	force
אֶדֶן	base;bases;bases_of
אֶדֶר	magnificent_of;robe
אֶזְבָּי	Ezbai
אֶזְרָח	citizen;native;native-born;native_of;native_tree
אֶזְרָחִי	Ezrahite
אֶזְרוֹעַ	arm;arm_of
אֶזֶל	Ezel
אֶחָד	a;a_certain;a_few;alone;an;another;any;any_of;any_one;certain;each;equal;every;fellow;first;next;once;one;one_of;other;other_of;same;single;some_of;the_other;unheard-of;unique;unison
אֶכֶף	pressure_of
אֶל	about;above;according_to;adjacent_to;after;against;along;along_with;among;around;as;as_far_as;as_for;at;because;because_of;before;beside;both_~_and;by;concerning;faced;far;for;from;had;in;in_addition_to;in_charge_of;in_front_of;into;joined;near;next_to;not;of;on;on_to;onto;opposite;over;through;to;together;toward;towards;under;upon;with;within
אֶלְגָּבִישׁ	hail
אֶלְדָּד	Eldad
אֶלְדָּעָה	Eldaah
אֶלְזָבָד	Elzabad
אֶלְחָנָן	Elhanan
אֶלְיְהוֹעֵינַי	Eliehoenai
אֶלְיַחְבָּא	Eliahba
אֶלְיָדָע	Eliada
אֶלְיָסָף	Eliasaph
אֶלְיָקִים	Eliakim
אֶלְיָשִׁיב	Eliashib;Eliashib's
אֶלְיוֹעֵינַי	Elienai;Elioenai
אֶלְנָעַם	Elnaam
אֶלְנָתָן	Elnathan
אֶלְעָד	Elead
אֶלְעָדָה	Eleadah
אֶלְעָזָר	Eleazar
אֶלְעָלֵא	Elealeh
אֶלְעָשָׂה	Elasah;Eleasah
אֶלְעוּזַי	Eluzai
אֶלְפַּעַל	Elpaal
אֶלְקָנָה	Elkanah
אֶלְקֹשִׁי	Elkoshite
אֶלְתְּקֵא	Elteke;Eltekeh
אֶלְתְּקֹן	Eltekon
אֶלְתּוֹלַד	Eltolad
אֶלֶף	1,000;2,000;a_thousand;clan;clan_of;clans_of;Haeleph;herds_of;one_thousand;oxen;thousand;thousand_of;thousands;thousands_of;two_thousand;two_thousands
אֶלָּסָר	Ellasar
אֶמְרָה	word_of
אֶמֶשׁ	last_night;night;yesterday
אֶסְתֵּר	Esther;Esther's
אֶפְלָל	Ephlal
אֶפְעֶה	viper;viper's
אֶפְרַיִם	Ephraim;Ephraim's
אֶפְרָתִי	Ephraimite;Ephrathite;Ephrathites
אֶפְרָתָה	Ephrath;Ephrathah
אֶפְרֹחַ	young;young_of;young_ones;young_ones_of
אֶפֶס	but;ends;ends_of;however;lack_of;no;no_of;no_one;none;not;not_of;nothing;only;shortage_of;there_is_no_one;there_is_no_one_of;whether;yet
אֶפֶס דַּמִּים	-dammim;Ephes-
אֶפַע	worthless
אֶצְבַּע	finger;finger_of;fingers;fingers_of;toes;toes_of
אֶצְבּוֹן	Ezbon
אֶצְעָדָה	armlets;bracelet
אֶקְדָּח	sparkling
אֶרְאֵל	brave_men
אֶרֶב	lairs;wait
אֶרֶג	loom;weaver's_shuttle
אֶרֶז	cedar;cedars;cedars_of
אֶרֶךְ	Erech
אֶרֶץ	countries;countries_of;country;country_of;countryside;districts_of;dust;earth;earth_of;field;floor;ground;ground_of;habitable;land;land_of;lands;lands_of;region;region_of;shore;soil;territory;world
אֶשְׁבַּעַל	Esh-baal
אֶשְׁבָּן	Eshban
אֶשְׁכָּר	gifts;payment_of
אֶשְׁכֹּל	Eshcol
אֶשְׁכּוֹל	cluster;cluster_of;cluster_of_grapes;clusters;clusters_of
אֶשְׁנָב	lattice;lattice_of
אֶשְׁעָן	Eshan
אֶשְׁפָּר	cake_of_dates;portion_of_meat
אֶשְׁקְלוֹנִי	Ashkelon
אֶשְׁתְּמוֹעַ	Eshtemoa;Eshtemoh
אֶשְׁתַּדּוּר	sedition
אֶשְׁתָּאֻלִי	Eshtaolites
אֶשְׁתָּאוֹל	Eshtaol
אֶשְׁתּוֹן	Eshton
אֶשֶׁד	slopes_of
אֶשֶׁךְ	testicles
אֶשֶׁר	blessed;blessed_of;happy;happy_of
אֶשָּׁא	fire
אֶתְבַּעַל	Ethbaal
אֶתְמוֹל	long;recently;yesterday
אֶתְנִי	Ethni
אֶתְנַן	Ethnan;hire_of;payment;payments;wages_of;wages_of_a_prostitute
אֶתְנָה	wages
אַב	ancestors_of;father_of;fathers_of
אַבְדָן	destroying
אַבְנֵט	sash;sash_of;sashes
אַבְרֵךְ	bow_the_knee
אַבְרָהָם	Abraham;Abraham's
אַבְרָם	Abram;Abram's
אַבֵל מַיִם	-maim;Abel-
אַבִּיר	angels;bulls;chief_of;mighty;mighty_bulls;mighty_of;stallions;stallions_of;strong_of;stubborn_of;valiant_of
אַגְמֹן	reed;rope;rushes
אַגָּן	basins;bowl_of;bowls
אַדְבְּאֵל	Adbeel
אַדְמָה	Admah
אַדְמָתָא	Admatha
אַדְמוֹנִי	red;ruddy
אַדְרַזְדָּא	with_diligence
אַדְרַמֶּלֶךְ	Adrammelech
אַדִּיר	glorious;leader_of;leaders_of;majestic;mighty;noble;noble_of;nobles;nobles_of;officers_of
אַדֶּרֶת	cloak_of;garment_of;glory_of;mantle_of;robe;robe_of;splendid
אַדָּן	Addan
אַדָּר	Addar
אַדּוֹן	Addon
אַהֲבָה	love;love_of;loved;loved_of;loves;loves_of
אַהֲוָא	Ahava
אַהֲרֹן	Aaron;Aaron's
אַהַב	lovers;loving
אַוָּה	desire_of;earnestness_of;please_of;want_of
אַזְדָּא	firm;firmly
אַזְכָּרָה	memorial_offering_of;memorial_portion;memorial_portion_of
אַזְנוֹת תָּבוֹר	-tabor;Aznoth-
אַח	brothers_of
אַחְאָב	Ahab;Ahab's
אַחְבָן	Ahban
אַחְוָה	declaration_of
אַחְזַי	Ahzai
אַחְיָן	Ahian
אַחְיוֹ	Ahio
אַחְלָב	Ahlab
אַחְלָי	Ahlai
אַחְלָמָה	amethyst
אַחְמְתָא	Ecbatana
אַחְרַח	Aharah
אַחֲוָה	brotherhood
אַחֲוָיָה	explain
אַחֲלַי	if_only;oh_that
אַחֲרִית	descendants_of;end;end_of;far_side_of;future;future_of;last_of;later_~_period_of;latter_days_of;latter_of;least_of;outcome;outcome_of;rest_of;survivors_of;to_come_of
אַחֲרַי	afterward
אַחֲרוֹן	afterward;end;following_time;future;in_the_west;last;later;latter;next;outcome;rear;second;to_come;western
אַחֵר	additional;Aher;another;different;foreign;more;next;other;others;the_other
אַחַר	after;after_that;afterward;afterwards;again;around;back;behind;besides;butt_of;follow;followed;following;follows;hereafter;in;last;next_to;now;on;pursuing;pursuit;since;then;to;to_the_west_side;west;west_of;with
אַט	dejectedly;gently;slowly;slowly_of
אַי	craving_of;how;what;where;which;why
אַיִל	jambs;jambs_of;leaders_of;leading_men_of;lintel;oaks;oaks_of;pilaster_of;pilasters;pilasters_of;portico;portico_of;ram;ram_of;rams;rams_of;ruler_of;trees_of;vestibule
אַיִן	are_gone;be_gone;beyond;can't;cannot;disappeared;don't;enough;fails;has_gone;have_none;is_gone;is_no_more;is_not;is_there_no;isn't;lack;lack_of;lacks;nearly;neither;never;no;no-one;no_more;no_other;none;nor;not;not_be;not_one;nothing;there_are_no;there_is_no;there_is_no_one;there_is_none;there_is_not;there_is_nothing;there_was_no;there_was_none;there_was_not;there_was_nothing;there_were_no;there_will_be_no;there_will_be_none;there_will_be_nothing;was_there_no;where;without
אַיֵּה	where
אַיֶּלֶת	deer_of;doe;doe_of
אַיָּה	Aiah;falcon;falcon's
אַיָּל	deer;stags
אַיָּלָה	deer;doe;wild_does_of
אַיָּלוֹן	Aijalon
אַךְ	after;alone;but;however;indeed;just;nevertheless;nothing_but;now;only;really;scarcely;surely;truly;utterly;wholly;yes;yet
אַכְזְרִיּוּת	cruel_of
אַכְזִיב	Achzib
אַכְזָב	deceitful;deception
אַכְזָר	cruel;deadly;fierce
אַכְזָרִי	cruel
אַכְשָׁף	Achshaph
אַכַּד	Accad
אַל	cannot;don't;instead_of;never;no;not;nothing;rather_than;there_is_no;to
אַל תַּשְׁחֵת	destroy
אַלְגּוּמִּים	algum
אַלְיָה	fat_tail
אַלְלַי	woe
אַלְמָן	forsaken
אַלְמָנָה	strongholds_of;towers_of;widow;widow's;widowed;widows;widows_of
אַלְמָנוּת	widow's_of;widowhood_of;widows_of
אַלְמֹן	widowhood
אַלְמֹנִי	a;such
אַלְמֻגִּים	almug
אַלְמוֹדָד	Almodad
אַלְקוּם	army
אַלַּמֶּלֶךְ	Allammelech
אַלָּה	oak
אַלּוֹן	Allon;oak;oaks;oaks_of
אַלּוֹן בָּכוּת	Bacuth
אַלּוּף	allies;cattle_of;chief;chiefs;chiefs_of;clan;clans_of;close_friends;companion_of;friend;friend_of;gentle;partner_of
אַמְנוֹן	Amnon;Amnon's
אַמְצִי	Amzi
אַמְצָה	strength
אַמְרָפֶל	Amraphel
אַמְתַּחַת	sack_of;sacks_of
אַמִּיץ	mighty;mighty_of;stout_of;strong
