Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment

# NOTE 1: This table only distinguishes names, not making any attempt to separate different people or places
# NOTE 2: Although this table applies to the OET-LV, the versification used is the ENGLISH system
# NOTE 3: Hebrew names that are also short English words (like Ham) may need the 'w' whole word flag so that the matching isn't overdone

# Individuals (or gods)
H	CH1								Ahlai			אַחְלַי		H304 (2) 1Chr 2:31, 11:41*
H					CH1_8:4				Ahoah			אֲחוֹחַ		H265 (1) 1Chr 8:4*
H					CH1_4:2				Ahumai			אֲחוּמַי		H267 (1) 1Chr 4:2*
H					CH1_4:6				Ahuzzam			אֲחֻזָּם		H275 (1) 1Chr 4:6*
H					NEH_11:13				Ahzai			אַחְזַי		H273 (1) Neh 11:13*
H	GEN,SA2,CH1								Aiah			אַיָּה		H345 (6) Gen 36:24, 2Sam 3:7, 21:8,10-11, 1Chr 1:40*
H	CH1,EZR,NEH								Akkub			עַקּוּב		H6126 (8) 1Chr 3:24, 9:17, Ezr 2:42,45, Neh 7:45, 8:7, 11:19, 12:25*
H	CH1								Alemeth			עָלֶמֶת		{ H5964 (4) 1Chr 6:60, 7:8, 8:36, 9:42*
H	CH1								Allemeth			עָלֶמֶת		{ H5964 (4) 1Chr 6:60, 7:8, 8:36, 9:42*
H	CH1								Alameth			עָלֶמֶת		{ H5964 (4) 1Chr 6:60, 7:8, 8:36, 9:42*
H					JOS_19:33,CH1_4:37				Allon			אַלּוֹן		H438 (2) Josh 19:33, 1Chr 4:37*
H					GEN_10:26,CH1_1:20				Almodad			אַלְמוֹדָד		H486 (2) Gen 10:26, 1Chr 1:20*
H					GEN_36:40,CH1_1:51				Alvah			עַלְוָה		{{ H5933 (2) Gen 36:40, 1Chr 1:51*
H					GEN_36:40,CH1_1:51				Aliah			עַלְוָה		{{ H5933 (2) Gen 36:40, 1Chr 1:51*
H					GEN_36:23,CH1_1:40				Alvan			עַלְוָן		{ H5935 (2) Gen 36:23, 1Chr 1:40*
H					GEN_36:23,CH1_1:40				Alian			עַלְוָן		{ H5935 (2) Gen 36:23, 1Chr 1:40*
H					GEN_36:23,CH1_1:40				Alyan			עַלְוָן		{ H5935 (2) Gen 36:23, 1Chr 1:40*
wH					CH1_7:35				Amal			עָמָל		H6000 (1) 1Chr 7:35*
H	GEN,EXO,NUM,DEU,JDG,SA1								Amalek			עֲמָלֵק		H6002 (39) Gen 36:12,16, Exo 17:8-16, ...
H	CH1,CH2,EZR,NEH,ZEP								Amariah			אֲמַרְיָה		H568 (16) 1Chr 6:7,11,52, 23:19, 24:23, 2Chr 19:11, ..., Zeph 1:1
H	SA2,KI1,CH1,CH2								Amasa			עֲמָשָׂא		H6021 (16) 2Sam 17:25, 19:13, 20:4-5,8-10,12, ...
H					NEH_11:13				Amashai			עֲמַשְׁסַי		{ H6023 (1) Neh 11:13*
H					NEH_11:13				Amashsai			עֲמַשְׁסַי		{ H6023 (1) Neh 11:13*
H					CH2_17:16				Amasiah			עֲמַסְיָה		H6007 (1) 2Chr 17:16*
H	KI2,CH1,CH2								Amaziah			אֲמַצְיָה		H558 (40) 2Ki 12:21, 13:12, 14:1,8-9,11, ...
wH					EZR_2:57				Ami			אָמִי		H532 (1) Ezr 2:57*
H					KI2_14:25,JNA_1:1				Amittai			אֲמִתַּי		H573 (2) 2Ki 14:25, Jna 1:1*
H	NUM,SA2,CH1								Ammiel			עַמִּיאֵל		H5988 (6) Num 13:12, 2Sam 9:4-5, 17:27, 1Chr 3:5, 26:5*
H	NUM,CH1								Ammihud			עַמִּיהוּד		H5989 (9) Num 1:10, 2:18, 7:48,53, 10:22, 34:20,28, 1Chr 7:26, 9:4*
H	EXO,NUM,RUT,CH1								Amminadab			עַמִּינָדָב		H5992 (13) Exo 6:23, Num 1:7, 2:3, ..., Ruth 4:19-20, 1Chr 2:10, ...
H					CH1_27:6				Ammizabad			עַמִּיזָבָד		H5990 (1) 1Chr 27:6*
wH					NEH_12:7,NEH_12:20				Amok			עָמוֹק		H5987 (2) Neh 12:7,20*
wH	KI1,KI2,CH1,CH2,NEH,JER,ZEP								Amon			אָמוֹן		H526 (17) 1Ki 22:26, 2Ki 21:18-19, ..., Zeph 1:1
H	AMO								Amos			אָמוֹץ		H5986 (7) Amo 1:1, 7:8,10-12,14, 8:2*
H					SA2_13:37				Ammihud			עַמִּיחוּר		H5991 (1) 2Sam 13:37*
wH									Ammon			עַמּוֹן		H5983 (106) Gen 19:38, Num 21:24, Deu 2:19,37, 3:11,16, Josh 12:2, 13:10,25, ...
H	SA2								Amnon			אַמְנוֹן		H550 son of David (28) 2Sam 3:2, 13:1, ...
H	KI2,CH2,ISA								Amoz			אָמוֹץ		H531 (13) 2Ki 19:2,20, 20:1, 2Chr 26:22, 32:20,32, Isa 1:1, 2:1, ...
H	EXO,NUM,CH1,EZR								Amram			עַמְרָם		H6019 (14) Exo 6:18,20, Num 3:19,26:58-59, 1 Chr 6:2-3,18, 23:12-13, 24:20, Ezr 10:34*
H					CH1_6:46,NEH_11:12				Amzi			אַמְצִי		H557 (2) 1Chr 6:46, Neh 11:12*
wH	GEN,CH1								Anah			עֲנָה		H6034 (12) Gen 36:2.14,18,20,24-25,29, 1Chr 1:38,40-41*
H					NEH_8:4,NEH_10:22				Anaiah			עֲנָיָה		H6043 (2) Neh 8:4, 10:22*
wH	NUM,DEU,JOS,JDG								Anak			עָנָק		H6061 (9) Num 13:22,28,33, Deu 9:2, Josh 15:13-14, ...
H					KI2_17:31				Anammelech			עֲנַמֶּלֶךְ		H6048 (1) 2Ki 17:31*
wH					NEH_10:26				Anan			עָנָן		H6052 (1) Neh 10:26*
wH					CH1_3:24				Anani			עֲנָנִי		H6054 (1) 1Chr 3:24*
H					NEH_3:23,NEH_11:32				Ananiah			עֲנַנְיָה		H6055 (2) Neh 3:23, 11:32*
wH					JDG_3:31,JDG_5:6				Anath			עֲנָת		H6067 (2) Jdg 3:31, 5:6*
wH	GEN,CH1								Aner			עָנֵר		H6063 (3) Gen 14:13,24, 1Chr 6:70*
H					CH1_7:19				Aniam			אֲנִיעָם		H593 (1) 1Chr 7:19*
H					CH1_8:24				Anthothijah			עַנְתֹתִיָּה		{ H6070 (1) 1Chr 8:24*
H					CH1_8:24				Antothijah			עַנְתֹתִיָּה		{ H6070 (1) 1Chr 8:24*
wH					CH1_4:8				Anub			עָנוּב		H6036 (1) 1Chr 4:8*
H					SA1_9:1				Aphiah			אֲפִיחַ		H647 (1) 1Sam 9:1*
H	CH1								Appaim			אַפַּיִם		H649 (2) 1Chr 2:30-31*
wH					CH1_7:38				Ara			אֲרָא		H690 (1) 1Chr 7:38*
wH	CH1,EZR,NEH								Arah			אָרַח		H73 (4) 1Chr 7:39, Ezr 2:5, Neh 6:18, 7:10*
wH									Aram			אֲרָם		{ H758 (133) Gen 10:22-23, 22:21, Num 23:7, ...
wdH									Syria			אֲרָם/(Syria)		{ H758 (133) Gen 10:22-23, 22:21, Num 23:7, ...
H									Arameans			אֲרָם		{ H758 (133) Gen 10:22-23, 22:21, Num 23:7, ...
dH									Syrians			אֲרָם/(Syrians)		{ H758 (133) Gen 10:22-23, 22:21, Num 23:7, ...
H					GEN_36:28,CH1_1:42				Aran			אֲרָן		H765 (2) Gen 36:28, 1Chr 1:42*
H					CH1_2:18				Ardon			אַרְדּוֹן		H715 (1) 1Chr 2:18*
H									Arieh			אַרְיֵה		H745 (1) 2Ki 15:25*
H									Ariel			אֲרִיאֵל		H740 (6) Ezr 8:16, Isa 29:1-2,7*
H									Arioch			אֲרְיוֹךְ		{ H746 (7) Gen 14:1,9, Dan 2:14-15,24-25*
H					CH1_3:21				Arnan			אַרְנָן		{{ H770 (1) 1Chr 3:21*
H									Aryok			אֲרְיוֹךְ		{ H746 (7) Gen 14:1,9, Dan 2:14-15,24-25*
H									Armoni			אַרְמֹנִי		H764 son of Sha'ul (1) 2Sam 21:8*
H									Araunah			אֲרַוְנָה		H728 (9) 2Sam 24:16,18,20-24*
H									Arphaxad			אַרְפַּכְשַׁד		{ H775 (9) Gen 10:22,24, 11:10-13, 1Chr 1:17-18,24*
H									Arpachshad			אַרְפַּכְשַׁד		{ H775 (9) Gen 10:22,24, 11:10-13, 1Chr 1:17-18,24*
H									Artaxerxes			אַרְתַּחְשַׁשְׁתָּא		H783 (15) Ezr 4:7-8,11,23, 6:14, ...
H					KI1_16:9				Arza			אַרְצָה		H777 (1) 1Ki 16:9*
wH									Asa			אָסָא		H609 (58) 1Ki 15:8-9,11,13-14,16-18, ...
H									Asahel			עֲשָׂהאֵל		{ H6214 (18) 2Sam 2:18-23,30, ...
H									Asah			עֲשָׂה		{ H6214 (18) 2Sam 2:18-23,30, ...
H									Asaiah			עֲשָׂיָה		H6222 (8) 2Ki 22:12,14, 1Chr 4:36, 6:30, 9:5, 15:6,11, 2Chr 34:20*
H									Asaph			אָסָף		H623 (46) 2Ki 18:18,37, 1Chr 6:39, 9:15, ...
wH					CH1_4:16				Asarel			אֲשַׂרְאֵל		H840 (1) 1Chr 4:16*
H					CH1_25:2				Asarelah			אֲשַׂרְאֵלָה		{ H841 (1) 1Chr 25:2*
H					CH1_25:2				Asharelah			אֲשַׂרְאֵלָה		{ H841 (1) 1Chr 25:2*
H									Asenath			אֱסְנַת		H621 (3) Gen 41:45,50, 46:20*
H					CH1_4:35				Asiel			עֲשִׂיאֵל		H6221 (1) 1Chr 4:35*
H					EZR_2:50				Asna			אַסְנָה		H619 (1) Ezr 2:50*
H					CH1_4:21				Ashbea			אֶשְׁבֵּעַ		H791 (1) 1Chr 4:21*
H	GEN,NUM,CH1								Ashbel			אַשְׁבֵּל		H788 (3) Gen 46:21, Num 26:38, 1Chr 8:1*
wH									Asher			אָשֵׁר		H836 (43) Gen 30:13, 35:26, 46:17, 49:20, Exo 1:4,13,40-41, ... plus Luke 2:36
H									Asherah			אֲשֵׁרָה		{ H842 feminine (40) Exo 34:13, Deu 7:5, 12:3, 16:21, Jdg 3:7, ...
H									asherah			אֲשֵׁרָה		{ H842 feminine (40)
H					CH1_2:24,CH1_4:5				Asshur			אַשְׁחוּר		H806 (2) 1Chr 2:24, 4:5*
H					KI2_17:30				Ashima			אַשִׁימָא		H807 (1) 2Ki 17:30*
H	GEN,CH1,JER								Ashkenaz			אַשְׁכְּנַז		H813 (3) Gen 10:3, 1Chr 1:6, Jer 51:27*
H					DAN_1:3				Ashpenaz			אַשְׁפְּנַז		H828 (1) Dan 1:3*
H	KI1,KI2								Ashtoreth			עַשְׁתֹּרֶת		H6253 (3) 1Ki 11:5,33, 2Ki 23:13*
H					CH1_7:33				Ashvath			עַשְׁוָת		H6220 (1) 1Chr 7:33*
H	NUM,JOS,CH1								Asriel			אַשְׂרִיאֵל		H844 (3) Num 26:31, Josh 17:2, 1Chr 7:14*
H	EXO,CH1								Assir			אַסִּיר		H617 (5) Exo 6:24, 1Chr 3:17, 6:22-23,37*
H					CH1_2:26				Atarah			עֲטָרָה		H5851 (1) 1Chr 2:26*
wH									Ater			אָטֵר		H333 (5) Ezr 2:16,42, Neh 7:21,45, 10:17*
H					NEH_11:4				Athaiah			עֲתָיָה		H6265 (1) Neh 11:4*
H									Athaliah			עֲתַלְיָה		H6271 woman (17) 2Ki 8:26, 11:1-3,13-14,20, 1Chr 8:26, 2Chr 22:2,10, ...
H					EZR_10:28				Athlai			עַתְלַי		H6270 (1) Ezr 10:28*
H	CH1,CH2								Attai			עַתַּי		H6262 (4) 1Chr 2:35-36, 12:12, 2Chr 11:20*
H					KI2_22:3,CH2_34:8				Azaliah			אֲצַלְיָהוּ		H683 (2) 2Ki 22:3, 2Chr 34:8*
H					NEH_10:9				Azaniah			אֲזַנְיָה		H245 (1) Neh 10:9*
