Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment
# Individuals
dHG									Michael			Μιχαήλ/(מִיכָאֵל)
dHG									Midian			Μαδιάμ/(מִדְיָן)		Acts 7:29
dHG									Moloch			Μολόχ/(מֹלֶךְ)		Acts 7:43
dHG									Moses			Μωσῆς/(מֹשֶׁה)
dHG									Naaman			Νεεμάν/(נַעֲמָן)		Luke 4:27
dHG									Naasson			Ναασσών/(נַחְשׁוֹן)
dHG									Nachor			Ναχώρ/(נָחוֹר)
dHG									Naggai			Ναγγαί/(נֹגַהּ?)
dHG									Nahum			Ναούμ/(נַחוּם)
dHG									Natham			Ναθάν/(נָתָן)
wdHG									Nathan			Ναθάν/(נָתָן)
dHG									Naum			Ναούμ/(נַחוּם)
dHG									Nephthalim			Νεφθαλείμ/(נַפְתָּלִי)
dHG									Neri			Νηρί/(נֵרִיָּה)
dHG									Noah			Νῶε/(נֹחַ)
dHG									Obed			Ἰωβήδ/Ὠβήδ/(עוֹבֵד)
dHG									Ozias			Ὀζίας/(עֻזִּיָּה)
dHG									Peleg			Φάλεκ/(פֶלֶג)
dHG									Perez			Φαρές/(פֶרֶץ)
dHG									Pharaoh			Φαραώ/(פַרְעֹה)		Acts 7:13
dHG									Rachel			Ῥαχήλ/(רָחֵל)		Matt 2:18
dHG									Ragau			Ῥαγαῦ/(רְעוּ)
dHG									Rahab			Ῥαχάβ/(רָחָב)
dHG									Rebecca			Ῥεβέκκα/(רִבְקָה)		Rom 9:10
dHG									Rehoboam			Ῥοβοάμ/(רְחַבְעָם)
dHG									Reuben			Ῥουβίμ/(רְאוּבֵן)		Rev 7:5
dHG									Rhesa			Ῥησά/(רְפָיָה?)
dHG									Ruth			Ῥούθ/(רוּת)
dHG									Salathiel			Σαλαθιήλ/(שְׁאַלְתִּיאֵל)
wdHG									Sala			Σαλά/(שֶׁלַח)
dHG									Salmon			Σαλμών/(שַׂלְמוֹן)
dHG									Samson			Σαμψών/(שִׁמְשׁוֺן)		Heb 11:32
dHG									Samuel			Σαμουήλ/(שְׁמוּאֵל)		Acts 3:24
dHG									Sarah			Σάρρα/(שָׂרָה)		Heb 11:11
dHG									Satan			Σατᾶν/(שָׂטָן)
dHG									Saul			Σαῦλος/(שָׁאוּל)		Acts 7:58, 8:1
dHG									Semein			Σεμεΐ/(שִׁמְעִי)
wdHG									Sem			Σήμ/(שֵׁם)
dHG									Seruch			Σερούχ/(שְׂרוּג)
dHG									Seth			Σήθ/(שֵׁת)
dHG									Simeon			Συμεών/(שִׁמְעוֹן)
dHG									Solomon			Σολομών/(שְׁלֹמִה)
dHG									Thamar			Θάμαρ/(תָּמָר)
dHG									Thara			Θάρα/(תֶּרַח)
dHG									Uriah			Οὐρίας/(איּרִיָּה)		Matt 1:6
dHG									Uzziah			Ὀζίας/(עֻזִּיָּה)
dHG									Zabulon			Ζαβουλών/(זְבוּלוּן)
dHG									Zadok			Σαδώκ/(צָדוֹק)
dHG									Zara			Ζαρά/(זֶרַח)
dHG									Zechariah			Ζαχαρίας/(זְכַרְיָה)
dHG									Zorobabel			Ζοροβάβελ/(זְרֻבָּבֶל)

# Tribes/Groups
dHG									Chaldeans¦			\add >ones¦\add*_from¦_Χαλδια/(כַּשְׂדִּי)¦		Acts 7:2 (not sure of Greek spelling)
dHG									Damascene¦			from¦_Δαμασκός/(דַּמֶּשֶׂק)¦		2 Cor 11:32
#dHG									Egyptians¦			\add >ones¦\add*_from¦_Αἴγυπτος/(מִצְרַיִם)¦
dHG									Egyptian¦			from¦_Αἴγυπτος/(מִצְרַיִם)¦		Acts 7:28
#dHG									Ethiopians			Αἰθίοψ/(כּוּשִׁי)		Acts 8:27
dHG									Ethiopian			Αἰθίοψ/(כּוּשִׁי)		Acts 8:27
dHG									Israelites¦			\add >ones¦\add*_from¦_Ἰσραήλ/(יִשְׂרָאֵל)¦		Acts 2:22
dHG									Jerusalemites¦			\add >ones¦\add*_from¦_Ἱερουσαλήμ/(יְרוּשָׁלַם)¦		Mrk 1:5
dHG									Levite¦			Λευΐτης¦/(from¦_tribe¦_of¦_לֵוִי¦)		Luk 10:32 doesn't work well for plural yet XXXX........
dHG									Ninevites¦			Νινευίτης¦/(\add >ones¦\add*_from¦_נִינְוֵה¦)		Luk 11:30
dHG									Ninevite¦			Νινευίτης¦/(from¦_נִינְוֵה¦)
wdHG									Samaritan¦			from¦_Σαμάρεια/(שֹׁמְרוֹן)¦
dHG									Samaritans			Σαμαρείτης/(שֹׁמְרוֹן)
dHG									Tyrians			Τύρος/(צֹר)		Acts 12:20

# Places
dHG									Azotus			Ἄζωτος/(אַשְׁדּוֹד)		Acts 8:40 Ashdod
dHG									Babylon			Βαβυλών/(בָּבֶל?)
dHG									Bethlehem			Βηθλεέμ/(בֵּית-לֶחֶם)
dHG									Bosor			Βοσόρ/(בְּעוֹר)		2 Pet 2:15
#									Canaan			Χαναάν/(כִּנַעַן)		Acts 7:11 but entered as a person above
dHG									Damascus			Δαμασκός/(דַּמֶּשֶׂק)
dHG									Egypt			Αἴγυπτος/(מִצְרַיִם)
dHG									Galilee			Γαλιλαία/(גָּלִיל)
dHG									Gaza			Γάζα/(עַזָּה)		Acts 8:26
G									Gehenna			γέεννα		Matt 23:33 Removed Hebrew /(הִנֹּם גֵּי) as no real benefit to readers
dHG									Golgotha			Γολγοθᾶ/(גֻּלְגֹּלֶת)
dHG									Gomorrah			Γόμορρα/(עֲמֹרָה)
dHG									Haran			Χαρράν/(חָרָן)		Acts 7:2
dHG									Jericho			Ἰεριχώ/(יְרִיחוֹ)		Heb 11:30
dHG									Jerusalem			Ἱερουσαλήμ/(יְרוּשָׁלַיִם)
dHG									Jordan			Ἰορδάνης/(יַרְדֵּן)
dHG									Kedron			Κεδρών/(קִדְרוֹן)		John 18:1
dHG									Lydda			Λύδδα/(לֹד)		Acts 9:32
dHG									Rama			Ῥαμά/(רָמָה)		Matt 2:18
dHG									Salem			Σαλήμ/(שָׁלֵם)
dHG									Samaria			Σαμάρεια/(שֹׁמְרוֹן)		Luke 17:11
dHG									Sarepta			Σάρεπτα/(צֱרְפַת)		Luke 4:26
dHG									Saron			Ασσαρών/(שָׁרוֹן)		Acts 9:35
dHG									Shechem			Συχέμ/(שְׁכֶם)		Acts 7:16
dHG									Sidon			Σιδών/(צִידוֹן)		Acts 12:20
dHG									Sinai			Σινᾶ/(סִינַי)		Acts 7:30
dHG									Sodom			Σόδομα/(סְדֹם)
wdHG									Syria			Συρία/(אֲרָם)
dHG									Tyre			Τύρος/(צֹר)
dHG									Zion			Σιών/(צִיּוֹן)

# Other
dHG									Ephphatha			Ἐφφαθά/(פְתַח)

# Post-processing -- we superscript people and place names that end with El or Yah
									ʼēl)			\sup ʼēl\sup*)
									yāh)			\sup yāh\sup*)
